id,title,type,status,rating,notes,cover,dateAdded
"1766639488235","The last of us part I","game","completed",10,"","https://imgs.search.brave.com/AIWqEfzpB_ISASNTekyBgeHJAyhcB3nbt4CjzO4qLTU/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/cGxheWVyLml0L3dw/LWNvbnRlbnQvdXBs/b2Fkcy8yMDE5LzEy/L3RoZS1sYXN0LW9m/LXVzLWNvcGVydGlu/YS1naW9jby5qcGc","2025-12-25T05:11:28.235Z"
"1766639531074","The last of us part II","game","completed",10,"","https://imgs.search.brave.com/haVOoa7qOodM_i_A0hGZQmxgJ4r74u-jK2G1T0N25t8/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly91cGxv/YWQud2lraW1lZGlh/Lm9yZy93aWtpcGVk/aWEvZW4vdGh1bWIv/NC80Zi9UTE9VX1Ay/X0JveF9BcnRfMi5w/bmcvMjUwcHgtVExP/VV9QMl9Cb3hfQXJ0/XzIucG5n","2025-12-25T05:12:11.074Z"
"1766639970498","Red dead redemption 2","game","replay",9.9,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1q1f.webp","2025-12-25T05:19:30.498Z"
"1766640061891","Silent hill 2","game","replay",9.4,"","https://images.igdb.com/igdb/image/upload/t_cover_big/coavaf.webp","2025-12-25T05:21:01.891Z"
"1766640200901","Beyond two souls","game","replay",8,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co8r4w.webp","2025-12-25T05:23:20.901Z"
"1766640259529","Life is strange 1","game","completed",9.7,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1r8e.webp","2025-12-25T05:24:19.529Z"
"1766640305328","Clair obscure expedition 33","game","completed",9.2,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.webp","2025-12-25T05:25:05.328Z"
"1766640347915","Heavy rain","game","replay",9,"","https://images.igdb.com/igdb/image/upload/t_cover_big/coaajv.webp","2025-12-25T05:25:47.915Z"
"1766640389580","Resident evil 4 remake","game","completed",8.5,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co6bo0.webp","2025-12-25T05:26:29.580Z"
"1766640438060","The walking dead","game","replay",9.8,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co7axc.webp","2025-12-25T05:27:18.060Z"
"1766640468869","The wolf among us","game","completed",8.5,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rcy.webp","2025-12-25T05:27:48.869Z"
"1766640508884","Dispatch","game","completed",8.7,"","https://imgs.search.brave.com/FmvegHyuZgPceU_No43JuGHRh7bCMfyHba9FRh50hVs/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9ob3ds/b25ndG9iZWF0LmNv/bS9nYW1lcy8xNjA2/MThfRGlzcGF0Y2gu/anBnP3dpZHRoPTc2/MA","2025-12-25T05:28:28.884Z"
"1766640622774","Assassin's creed 1","game","completed",8,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rrw.webp","2025-12-25T05:30:22.774Z"
"1766640658509","Assassin's creed 2","game","completed",9.3,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1nrv.webp","2025-12-25T05:30:58.509Z"
"1766640689549","Assassin's creed 3","game","completed",9.4,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1xii.webp","2025-12-25T05:31:29.549Z"
